,X,Backed_Microlith,BipolarTech,BladeTech,Borer,Burin,CentripetalTech,CoreTool,Denticulate,LevalloisBladeTech,LevalloisFlakeTech,LevalloisPointTech,Notch,PlatformCore,PointTech,RTBifacial,Scraper,rowSums.cbdatapa2.,AssID,Site...3,Reported.Industry,Industry,SimpleMethod,SimpleType,N,E,MIN_AGE,MID_AGE,MAX_AGE,newMIS,Ref,Basalts,Cherts,CCS,Obsidians,Metamorphics,Quartzs,Other Igneous,Other Sedimentary
14,Mumba_U_V_38,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,13,Mumba_U_V_38,Mumba,MSA (Mumba; transitional),MSA,1,1,-3.540555556,35.29638889,44,49,53,3,Mehlman 1989,0,1,0,0,1,1,0,0
15,Mumba_U_VI_A,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,13,Mumba_U_VI_A,Mumba,MSA (Kisele),MSA,1,1,-3.540555556,35.29638889,57,63,69,4,Mehlman 1989,0,1,0,0,1,1,0,0
16,Mumba_VI_B,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,13,Mumba_VI_B,Mumba,MSA (Sanzako),MSA,1,1,-3.540555556,35.29638889,86,120,153,5,Mehlman 1989,0,1,0,0,1,1,0,0
104,Nasera_12_17,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,13,Nasera_12_17,Nasera,MSA (Kisele),MSA,1,1,-2.736944444,35.35805556,53,56,58,3,Mehlman 1989,0,1,0,0,1,1,0,0
108,Nasera_6_7,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,14,Nasera_6_7,Nasera,MSA (Nasera; transitional),MSA,1,1,-2.736944444,35.35805556,50,54,58,3,Mehlman 1989,0,1,0,0,1,1,0,0
109,Nasera_8/9_11,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,12,Nasera_8/9_11,Nasera,MSA (Mumba; transitional),MSA,1,1,-2.736944444,35.35805556,50,54,58,3,Mehlman 1989,0,1,0,0,1,1,0,0
246,Ndutu_14,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,5,Ndutu_14,Ndutu,MSA,MSA,0,0,-3.251539624,34.86748566,220,230,240,7,Eren et al 2014,1,0,0,0,0,1,1,0
247,Ndutu_72,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,4,Ndutu_72,Ndutu,MSA,MSA,0,0,-3.251539624,34.86748566,220,230,240,7,Leakey et al. 1972,1,0,0,0,0,1,1,0
181,Olorgesailie_BOK1E,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,6,Olorgesailie_BOK1E,Olorgesailie,MSA,MSA,1,0,-1.5653264,36.432652,295,308,320,9,Brooks et al. 2018,1,1,0,1,0,1,0,0
182,Olorgesailie_BOK2,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,1,8,Olorgesailie_BOK2,Olorgesailie,MSA,MSA,1,0,-1.5653264,36.432652,295,308,320,9,Brooks et al. 2018,1,1,0,1,0,1,0,0
183,Olorgesailie_BOK3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,5,Olorgesailie_BOK3,Olorgesailie,MSA,MSA,1,0,-1.5653264,36.432652,295,308,320,9,Brooks et al. 2018,1,1,0,1,0,0,0,0
184,Olorgesailie_BOK4,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,7,Olorgesailie_BOK4,Olorgesailie,MSA,MSA,1,0,-1.5653264,36.432652,288,295,301,8,Brooks et al. 2018,1,1,0,1,0,1,0,0
186,Omo_AHS1-5,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,8,Omo_AHS1-5,Omo,MSA,MSA,1,0,4.468124171,35.97851883,193,197,201,7,Shea et al. 2008,1,1,1,0,1,0,1,1
187,Omo_AHS6_8,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,12,Omo_AHS6_8,Omo,MSA,MSA,1,0,4.468124171,35.97851883,193,197,201,7,Shea et al. 2008,1,1,1,0,1,0,1,1
250,Omo_AHSsurface,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,12,Omo_AHSsurface,Omo,MSA,MSA,0,0,4.468124171,35.97851883,193,197,201,7,Shea et al. 2008,1,1,1,0,1,0,1,1
188,Omo_BNS_L3,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,11,Omo_BNS_L3,Omo,MSA,MSA,1,0,4.468124171,35.97851883,96,104,111,5,Shea et al. 2008,0,1,1,0,0,0,1,0
251,Omo_BNS<50m,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,11,Omo_BNS<50m,Omo,MSA,MSA,0,0,4.468124171,35.97851883,96,104,111,5,Shea et al. 2008,0,1,1,0,0,0,1,0
189,Omo_KHS2/3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,Omo_KHS2/3,Omo,MSA,MSA,1,0,4.468124171,35.97851883,193,197,201,7,Shea et al. 2008,0,1,1,0,0,0,0,0
252,Omo_KHSNgully,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,Omo_KHSNgully,Omo,MSA,MSA,0,0,4.468124171,35.97851883,193,197,201,7,Shea et al. 2008,0,1,1,0,0,0,0,0
